time,where,behavior,
1036,in,fast,
1037,in,fast,
1038,in,fast,
1039,out,stop,
1040,out,stop,
1041,out,stop,
1042,out,stop,
1043,in,fast,
1044,in,back_to_op,
1045,in,back_to_op,
1046,in,back_to_op,
1047,in,back_to_op,
1048,in,back_to_op,
1049,in,back_to_op,
1050,in,with_op,
1051,in,with_op,
1052,in,with_op,
1053,in,with_op,
1054,out,fast,
1055,out,fast,
1056,out,fast,
1057,out,fast,
1058,out,fast,
1059,out,fast,
1060,out,fast,
1061,out,fast,
1062,out,fast,
1063,out,fast,
1064,out,fast,
1065,out,fast,
1066,out,fast,
1067,out,fast,
1068,out,fast,
1069,out,fast,
1070,out,fast,
1071,out,fast,
1072,out,fast,
1073,out,fast,
1074,out,fast,
1075,out,fast,
1076,out,fast,
1077,out,fast,
1078,out,fast,
1079,out,fast,
1080,out,fast,
1081,out,fast,
1082,out,fast,
1083,out,fast,
1084,out,fast,
1085,out,fast,
1086,out,fast,
1087,out,focus,
1088,out,fast,
1089,out,fast,
1090,out,stop,
1091,out,stop,
1092,out,stop,
1093,out,stop,
1094,out,fast,
1095,out,fast,
1096,out,fast,
1097,out,fast,
1098,out,fast,
1099,out,fast,
1100,out,fast,
1101,out,fast,
1102,out,stop,
1103,out,stop,
1104,out,stop,
1105,out,fast,
1106,out,fast,
1107,out,fast,
1108,out,fast,
1109,out,fast,
1110,out,fast,
1111,out,fast,
1112,out,fast,
1113,out,fast,
1114,out,fast,
1115,out,fast,
1116,out,stop,
1117,out,stop,
1118,out,stop,
1119,out,stop,
1120,out,stop,
1121,out,stop,
1122,out,fast,
1123,out,fast,
1124,out,fast,
1125,out,fast,
1126,out,stop,
1127,out,fast,
1128,out,fast,
1129,out,fast,
1130,out,fast,
1131,out,fast,
1132,out,fast,
1133,out,fast,
1134,out,stop,
1135,out,back_to_op,
1136,out,back_to_op,
1137,out,back_to_op,
1138,out,back_to_op,
1139,out,back_to_op,
1140,out,back_to_op,
1141,out,back_to_op,
1142,out,back_to_op,
1143,out,back_to_op,
1144,out,with_op,
1145,out,with_op,
1146,out,with_op,
1147,out,with_op,
1148,out,with_op,
1149,out,with_op,
1150,out,with_op,
1151,in,fast,
1152,in,fast,
1153,in,fast,
1154,in,fast,
1155,in,fast,
1156,in,fast,
1157,in,fast,
1158,in,stop,
1159,in,stop,
1160,in,stop,
1161,in,stop,
1162,in,stop,
1163,in,stop,
1164,in,stop,
1165,in,stop,
1166,in,stop,
1167,in,stop,
1168,in,stop,
1169,in,stop,
1170,in,stop,
1171,in,stop,
1172,in,stop,
1173,in,stop,
1174,in,stop,
1175,in,stop,
1176,in,stop,
1177,in,mark,
1178,in,mark,
1179,in,mark,
1180,in,between,
1181,in,between,
1182,in,between,
1183,in,mark,
1184,in,mark,
1185,in,mark,
1186,in,stop,
1187,in,stop,
1188,in,stop,
1189,in,stop,
1190,in,stop,
1191,in,stop,
1192,in,stop,
1193,in,stop,
1194,in,stop,
1195,in,stop,
1196,in,stop,
1197,in,stop,
1198,in,stop,
1199,in,stop,
1200,in,stop,
1201,in,stop,
1202,in,stop,
1203,in,stop,
1204,in,stop,
1205,in,stop,
1206,in,stop,
1207,in,stop,
1208,in,mark,
1209,in,mark,
1210,in,mark,
1211,in,mark,
1212,in,mark,
1213,in,mark,
1214,in,mark,
1215,in,mark,
1216,in,stop,
1217,in,stop,
1218,in,stop,
1219,in,stop,
1220,in,stop,
1221,in,stop,
1222,in,stop,
1223,in,stop,
1224,in,stop,
1225,in,stop,
1226,in,stop,
1227,in,stop,
1228,in,stop,
1229,in,stop,
1230,in,stop,
1231,in,stop,
1232,in,stop,
1233,in,stop,
1234,in,stop,
1235,in,stop,
1236,in,stop,
1237,in,stop,
1238,in,stop,
1239,in,stop,
1240,in,stop,
1241,in,stop,
1242,in,stop,
1243,in,stop,
1244,in,mark,
1245,in,mark,
1246,in,mark,
1247,in,mark,
