date,site,run,dog,sess,handler,speed,temperature,humidity,radiation,ground
23.10.2022,hadasa1,10,black,1,Uriel,2.328,27.69,55.42,681.45,39.55
23.10.2022,hadasa2,10,black,2,Uriel,2.328,27.69,55.42,681.45,39.55
23.10.2022,hadasa1,11,chuck,1,Nina,2.327,27.85,54.28,664.08,39.37
23.10.2022,hadasa2,11,chuck,2,Nina,2.327,27.85,54.28,664.08,39.37
23.10.2022,hadasa1,12,gibor,1,Uriel,2.594,27.97,53.26,675,39.31
23.10.2022,hadasa2,12,gibor,2,Uriel,3.226,27.65,54.12,702.47,38.72
24.08.2022,hadasa2,1,tochka,1,Uriel,1.334,29.08,55.65,493.44,36.91
24.08.2022,hadasa1,1,tochka,2,Uriel,1.151,29.67,54.26,526.64,38.58
24.08.2022,hadasa1,2,chuck,1,Uriel,1.185,29.87,54.31,551.36,39.06
24.08.2022,hadasa2,2,chuck,2,Uriel,1.524,29.21,57.28,594.07,39.19
24.08.2022,hadasa2,3,black,1,Uriel,1.864,29.16,57.38,628.64,39.96
24.08.2022,hadasa1,3,black,2,Uriel,1.904,28.97,58.68,667.07,40.37
24.08.2022,hadasa1,4,amigo,1,Uriel,2.538,28.65,59.39,695.79,40.18
24.08.2022,hadasa2,4,amigo,2,Uriel,2.263,28.85,59.55,728.96,41.06
24.08.2022,hadasa2,5,hugo,1,Uriel,2.412,29.03,59.11,811.16,42.74
24.08.2022,hadasa1,5,hugo,2,Uriel,2.412,29.03,59.11,811.16,42.74
24.08.2022,hadasa2,6,choco,2,Uriel,3.078,29.06,59.13,854.41,42.92
24.08.2022,hadasa1,7,tochka,1,Uriel,3.288,29.23,59.71,896.81,43.66
24.08.2022,hadasa2,7,tochka,2,Uriel,3.288,29.23,59.71,896.81,43.66
24.08.2022,hadasa2,8,chuck,1,Uriel,3.425,29.2,60.07,915.01,43.81
24.08.2022,hadasa1,8,chuck,2,Uriel,3.016,29.73,58.83,943.25,44.99
24.08.2022,hadasa1,9,black,1,Uriel,3.665,29.42,60,953.4,44.35
24.08.2022,hadasa2,9,black,2,Uriel,3.665,29.42,60,953.4,44.35
27.10.2022,acre1,2,gibor,1,Shaked,0.534,29.26,51.91,661.89,43.21
30.11.2022,hadasa2,1,hugo,1,Uriel,2.745,20.23,73.57,617.02,21.74
30.11.2022,hadasa1,1,hugo,2,Uriel,2.585,21,72.01,633.1,22.9
30.11.2022,hadasa1,2,black,1,Uriel,3.064,21.29,71.75,628.49,23.07
30.11.2022,hadasa2,2,black,2,Uriel,3.064,21.29,71.75,628.49,23.07
30.11.2022,hadasa2,3,chuck,1,Uriel,2.802,21.27,71.27,589.13,23.23
30.11.2022,hadasa1,3,chuck,2,Uriel,2.802,21.27,71.27,589.13,23.23
30.11.2022,hadasa1,4,tochka,1,Uriel,2.762,21.46,71.27,566.63,23.56
30.11.2022,hadasa2,4,tochka,2,Uriel,2.762,21.46,71.27,566.63,23.56
30.11.2022,hadasa1,5,hugo,1,Uriel,2.509,21.89,69.17,564.47,24.51
30.11.2022,hadasa2,5,hugo,2,Uriel,2.331,22.05,67.6,557.77,24.74
30.11.2022,hadasa2,6,black,1,Uriel,2.331,22.05,67.6,557.77,24.74
30.11.2022,hadasa1,6,black,2,Uriel,2.331,22.05,67.6,557.77,24.74
30.11.2022,hadasa1,7,chuck,1,Uriel,2.494,22.06,66.89,545.83,24.76
30.11.2022,hadasa2,7,chuck,2,Uriel,2.494,22.06,66.89,545.83,24.76
30.11.2022,hadasa2,8,tochka,1,Uriel,2.33,22.19,67.9,542.89,25.02
30.11.2022,hadasa1,8,tochka,2,Uriel,2.33,22.19,67.9,542.89,25.02
